Reference,Value,Datasheet,Footprint,Qty,
"C1,C2,C4,C15,C18",100nF,~,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,5,10
C3,470uF,~,Capacitor_THT:CP_Radial_D8.0mm_P3.50mm,1,2
"C14,C22",22uF,~,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,2,6
C16,1uF,~,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1,2
"C17,C21",10uF,~,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,2,4
C19,47nF,~,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1,2
D1,R,https://www.we-online.com/components/products/datasheet/150080SS75000.pdf,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,2
D2,G,https://www.we-online.com/components/products/datasheet/150080SS75000.pdf,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,2
D3,Y,https://www.we-online.com/components/products/datasheet/150080SS75000.pdf,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,2
D4,B,https://www.we-online.com/components/products/datasheet/150080SS75000.pdf,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,2
"F1,F4,F5",8A,~,3568-20:FUSE_3568-20,3,6
F2,15A,~,3568-20:FUSE_3568-20,1,2
F3,2A,~,3568-20:FUSE_3568-20,1,2
F6,4A,~,3568-20:FUSE_3568-20,1,2
J1,USB_B_Micro,https://www.digikey.com/en/products/detail/amphenol-cs-fci/10118193-0001LF/2785388,Connector_USB:USB_Micro-B_Amphenol_10118193-0001LF_Horizontal,1,2
"J2,J5,J7,J8,J12,J18",XT30PW-F,~,Connector_AMASS:AMASS_XT30PW-F_1x02_P2.50mm_Horizontal,6,0
J3,RJ45,~,A-2014-2-4-N-T-R:ASSMANN_A-2014-2-4-N-T-R,1,2
J4,XT30PW-M,,Connector_AMASS:AMASS_XT60PW-M_1x02_P7.20mm_Horizontal,1,0
"J6,J9",XT30PW-M,,Connector_AMASS:AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,2,0
"J10,J11,J13,J20,J21,J22,J23,J24",B2B-XH-A_LF__SN_,http://www.jst-mfg.com/product/pdf/eng/eXH.pdf,Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,8,16
"J14,J15,J16,J17",Conn_01x03,~,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,4,8
J19,B4B-XH-A_LF__SN_,http://www.jst-mfg.com/product/pdf/eng/eXH.pdf,Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,2
Q1,DMG4800LK3-13,,Package_TO_SOT_SMD:TO-252-2,1,3
"R1,R2,R3,R4,R9,R15,R16,R17",3.3k,~,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,8,16
R5,470,~,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,2
"R6,R10",10k,~,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2,4
"R7,R8,R11,R14",1k,~,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,4,8
"R12,R13",60,~,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2,4
"SW1,SW2",TS09-63-25-WT-160-SMT-TR,TS09-63-25-WT-160-SMT-TR,TS09_63_25_WT_160_SMT_TR:SW_TS09-63-25_CUD,2,4
U1,DRV8251A,https://www.ti.com/lit/ds/symlink/drv8251a.pdf?ts=1647896037237&ref_url=https%253A%252F%252Fwww.ti.com%252Fstore%252Fti%252Fen%252Fp%252Fproduct%252F%253Fp%253DDRV8251ADDAR%2526keyMatch%253DDRV8251ADDAR%2526tisearch%253Dsearch-everything%2526usecase%253DO,Package_SO:Texas_HSOP-8-1EP_3.9x4.9mm_P1.27mm_ThermalVias,1,2
U3,150-SMDB03CE3/TR7TR-ND,150-SMDB03CE3/TR7TR-ND,Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm,1,2
U4,ESP32-S3-WROOM-1,https://www.espressif.com/sites/default/files/documentation/esp32-s3-wroom-1_wroom-1u_datasheet_en.pdf,RF_Module:ESP32-S3-WROOM-1,1,2
U5,SN65HVD232Q,,TJA1050T_CM_118:SOIC127P600X175-8N,1,2
U7,AZ1117CH-3.3TRG1,,Package_TO_SOT_SMD:SOT-223-3_TabPin2,1,2
