"Reference","Value","Datasheet","Footprint","Qty","DNP","Digikey","Digikey Link"
"C1,C3,C4,C6,C7,C9,C11,C14","100nF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","8","","",""
"C2","22uF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1","","",""
"C5","1uF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1","","",""
"C8,C10,C12,C13,C15,C16","10uF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","6","","",""
"D1","G","~","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","1","","",""
"D2,D3,D5","B","~","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","3","","",""
"D4","40V","~","Diode_SMD:D_SMA","1","","",""
"F1","FuseHolder","~","RoverFootprint:FUSE_3568-20","1","","",""
"G1,G6","PHR-3","","","2","","https://www.digikey.ca/en/products/detail/jst-sales-america-inc/PHR-3/527357",""
"G3","JUMPER 2PINS (QPC02SXGN-RC)","","","1","","https://www.digikey.ca/en/products/detail/sullins-connector-solutions/QPC02SXGN-RC/2618262",""
"G4","PHR-2","","","1","","https://www.digikey.ca/en/products/detail/jst-sales-america-inc/PHR-2/608607",""
"G8","PHR-6","","","1","","https://www.digikey.ca/en/products/detail/jst-sales-america-inc/PHR-6/608604",""
"J1","USB_C_USB4105-GF-A","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","Connector_USB:USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal","1","","",""
"J2","XT30PW-F","","RoverFootprint:AMASS_XT30PW-F_1x02_P2.50mm_Horizontal","1","","",""
"J3,J4","Eth-Horiz","~","RoverFootprint:Ethernet_Horizontal","2","","",""
"J5,J8","Conn_01x03","~","-- mixed values --","2","","",""
"J6","Conn_01x02","~","Connector_JST:JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal","1","","",""
"J9","Conn_01x06","~","Connector_JST:JST_PH_B6B-PH-K_1x06_P2.00mm_Vertical","1","","",""
"J10","Jumper PWR","~","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","1","","",""
"R1,R2,R4,R5,R6,R11","5.1k","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","6","","",""
"R3,R7,R8","10k","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","3","","",""
"R10","120","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1","","",""
"SW1,SW2,SW3,SW4","SW-PTS815SJM250SMTRLFS","https://www.ckswitches.com/media/2728/pts815.pdf","RoverFootprint:SW-PTS815 SJM250SMTRLFS","4","","",""
"U1","TVS-SMDB03CE3","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","1","","",""
"U2","ESP32-S3-WROVER","https://www.espressif.com/sites/default/files/documentation/esp32-s3-wroom-1_wroom-1u_datasheet_en.pdf","RF_Module:ESP32-S3-WROOM-1U","1","","","https://www.digikey.ca/en/products/detail/espressif-systems/ESP32-S3-WROOM-1U-N8/16162635"
"U3","XT60PM-F","","RoverFootprint:AMASS_XT60PW-F_1x02_P7.20mm_Horizontal","1","","",""
"U4","XT60PW-M","","RoverFootprint:AMASS_XT60PW-M_1x02_P7.20mm_Horizontal","1","","",""
"U5","LDO-TLV74033PDBVR","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/5334/TLV740P_DS.pdf","Package_TO_SOT_SMD:SOT-23-5_HandSoldering","1","","https://www.digikey.ca/en/products/detail/texas-instruments/TLV74033PDBVR/12642183",""
"U6,U7","SN65HVD232","https://www.ti.com/lit/ds/symlink/sn65hvd230.pdf?ts=1730319703644&ref_url=https%253A%252F%252Fwww.ti.com%252Fproduct%252FSN65HVD230","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","2","","",""
"U8","LDO-LM7805MPX/NOPB","https://www.ti.com/lit/ds/symlink/lm7800.pdf","Package_TO_SOT_SMD:SOT-223-3_TabPin2","1","","",""
