Part Number,Customer Reference,Quantity 1
399-C0805C104K5RACTUCT-ND,J2|C1.C3.C4.C6.C7.C9.C11.C14,8
445-14428-1-ND,J2|C2,1
399-15436-1-ND,J2|C5,1
490-18663-1-ND,J2|C8.C10.C12.C13.C15.C16,6
732-4986-1-ND,J2|D1,1
732-4982-1-ND,J2|D2.D3.D5,3
SK54A-LTPMSCT-ND,J2|D4,1
36-3568-20-ND,J2|F1,1
455-1126-ND,J2|G1.G6,2
S9337-ND,J2|G3,1
455-1165-ND,J2|G4,1
455-1162-ND,J2|G8,1
2073-USB4105-GF-ACT-ND,J2|J1,1
609-5081-ND,J2|J3.J4,2
455-B3B-PH-KL-ND,J2|J5.J8,2
455-1719-ND,J2|J6,1
455-B6B-PH-K-ND,J2|J9,1
952-2121-ND,J2|J10,1
2019-RK73H2ATTD5101FCT-ND,J2|R1.R2.R4.R5.R6.R11,6
2019-RK73H2ATTD1002FCT-ND,J2|R3.R7.R8,3
2019-RK73H2ATTD1200FCT-ND,J2|R10,1
CKN12215-1-ND,J2|SW1.SW2.SW3.SW4,4
150-SMDB03CE3/TR7CT-ND,J2|U1,1
1965-ESP32-S3-WROOM-1U-N8CT-ND,J2|U2,1
296-TLV74033PDBVRCT-ND,J2|U5,1
296-15381-1-ND,J2|U6.U7,2
296-44518-1-ND,J2|U8,1
