"Reference","Value","Footprint","Qty","Digikey","Digikey Link"
"C1","470uF","Capacitor_SMD:CP_Elec_8x10.5","1","",""
"C2,C4,C6,C14,C16,C17,C18,C19,C21,C23,C25","100nF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","11","",""
"C3,C5,C9,C10,C11,C12,C13,C20,C22,C24","10uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","10","",""
"C7","1nF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1","",""
"C8","4.7nF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1","",""
"C15","1uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1","",""
"D1,D3,D4","B","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","3","",""
"D2","40V","Diode_SMD:D_SMA","1","",""
"F1","15A","RoverFootprint:FuseHolder-3588-20","1","",""
"G1","ST0242","","1","",""
"G2","JUMPER 2PINS (QPC02SXGN-RC)","","1","https://www.digikey.ca/en/products/detail/sullins-connector-solutions/QPC02SXGN-RC/2618262",""
"G3,G4","PHR-2","","2","https://www.digikey.ca/en/products/detail/jst-sales-america-inc/PHR-2/608607",""
"G5","PHR-3","","1","https://www.digikey.ca/en/products/detail/jst-sales-america-inc/PHR-3/527357",""
"G6","PHR-4","","1","https://www.digikey.ca/en/products/detail/jst-sales-america-inc/PHR-4/608606",""
"G7,G8,G9","PHR-6","","3","https://www.digikey.ca/en/products/detail/jst-sales-america-inc/PHR-6/608604",""
"G10","1528-1403-ND","","1","https://www.digikey.ca/en/products/detail/adafruit-industries-llc/1058/5638298",""
"J1","JST_PH_SB6","Connector_JST:JST_PH_S6B-PH-SM4-TB_1x06-1MP_P2.00mm_Horizontal","1","",""
"J2,J7,J8","XT30PW-M","-- mixed values --","3","",""
"J3","USB_C_USB4105-GF-A","Connector_USB:USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal","1","",""
"J4","Conn_01x04_Socket","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical_SMD_Pin1Left","1","",""
"J5","ETH-RJHSE5081","RoverFootprint:ETH-RJHSE5081","1","",""
"J6","Conn_02x03_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical_SMD","1","",""
"J9,J10","JST-PH-S6B","Connector_JST:JST_PH_S6B-PH-SM4-TB_1x06-1MP_P2.00mm_Horizontal","2","",""
"J11","Conn_01x04_MountingPin","Connector_JST:JST_PH_S4B-PH-SM4-TB_1x04-1MP_P2.00mm_Horizontal","1","",""
"J12,J13","Conn_01x02_MountingPin","Connector_JST:JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal","2","",""
"J14","Conn_01x03_MountingPin","Connector_JST:JST_PH_S3B-PH-SM4-TB_1x03-1MP_P2.00mm_Horizontal","1","",""
"R1,R2,R3,R11,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28","10k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","19","",""
"R4","0.05 (CRA2512-FZ-R050ELF)","Resistor_SMD:R_2512_6332Metric_Pad1.40x3.35mm_HandSolder","1","",""
"R5,R6","5.1k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2","",""
"R7,R10,R29,R30","1k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","4","",""
"R8,R9","60.4","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2","",""
"R12,R13","4.7k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2","",""
"SW1,SW2,SW3,SW4,SW5,SW6,SW7,SW8,SW9","SW-PTS815SJM250SMTRLFS","RoverFootprint:SW-PTS815 SJM250SMTRLFS","9","",""
"U1,U8,U9","IFX9201SGAUMA1","RoverFootprint:DRIVE_IFX9201SGAUMA1","3","",""
"U2","CURR_SENSE-INA219AIDCNTG4","Package_TO_SOT_SMD:SOT-23-8","1","",""
"U3","TVS-SMDB03CE3","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","1","",""
"U4","SN65HVD232","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","1","",""
"U5","LDO-LM7805MPX/NOPB","Package_TO_SOT_SMD:TO-263-3_TabPin2","1","",""
"U6","LDO-TLV74033PDBVR","Package_TO_SOT_SMD:SOT-23-5_HandSoldering","1","https://www.digikey.ca/en/products/detail/texas-instruments/TLV74033PDBVR/12642183",""
"U7","ESP32-S3-WROVER","RF_Module:ESP32-S3-WROOM-1U","1","","https://www.digikey.ca/en/products/detail/espressif-systems/ESP32-S3-WROOM-1U-N8/16162635"
