"Reference","Value","Footprint","Qty","Digikey","Digikey Link","Description"
"C1","470uF","Capacitor_SMD:CP_Elec_8x10.5","1","","","UCV1V471MNL1GS"
"C2,C4,C6,C14,C16,C17,C18,C19,C21,C23,C25","100nF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","11","","","Unpolarized capacitor"
"C3,C5,C9,C10,C11,C12,C13,C20,C22,C24","10uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","10","","","Unpolarized capacitor"
"C7","1nF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1","","","Unpolarized capacitor"
"C8","4.7nF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1","","","Unpolarized capacitor"
"C15","1uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1","","","Unpolarized capacitor"
"D1","G","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","1","","","Light emitting diode"
"D2","40V","Diode_SMD:D_SMA","1","","","Schottky diode"
"D3,D4","B","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","2","","","Light emitting diode"
"F1","15A","RoverFootprint:FuseHolder-3588-20","1","","","FuseHolder SMD 20A Max"
"G1","ST0242","","1","","",""
"G2","JUMPER 2PINS (QPC02SXGN-RC)","","1","https://www.digikey.ca/en/products/detail/sullins-connector-solutions/QPC02SXGN-RC/2618262","",""
"G3,G4","PHR-2","","2","https://www.digikey.ca/en/products/detail/jst-sales-america-inc/PHR-2/608607","",""
"G5","PHR-3","","1","https://www.digikey.ca/en/products/detail/jst-sales-america-inc/PHR-3/527357","",""
"G6","PHR-4","","1","https://www.digikey.ca/en/products/detail/jst-sales-america-inc/PHR-4/608606","",""
"G7,G8,G9","PHR-6","","3","https://www.digikey.ca/en/products/detail/jst-sales-america-inc/PHR-6/608604","",""
"G10","1528-1403-ND","","1","https://www.digikey.ca/en/products/detail/adafruit-industries-llc/1058/5638298","",""
"J1","JST_PH_SB6","Connector_JST:JST_PH_S6B-PH-SM4-TB_1x06-1MP_P2.00mm_Horizontal","1","","","Generic connectable mounting pin connector, single row, 01x06, script generated (kicad-library-utils/schlib/autogen/connector/)"
"J2,J7,J8","XT30PW-M","-- mixed values --","3","","",""
"J3","USB_C_USB4105-GF-A","Connector_USB:USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal","1","","","USB 2.0-only 16P Type-C Receptacle connector"
"J4","Conn_01x04_Socket","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical_SMD_Pin1Left","1","","","Generic connector, single row, 01x04, script generated"
"J5","ETH-RJHSE5081","RoverFootprint:ETH-RJHSE5081","1","","","RJ connector, 8P8C (8 positions 8 connected), RJ31/RJ32/RJ33/RJ34/RJ35/RJ41/RJ45/RJ49/RJ61"
"J6","Conn_02x03_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical_SMD","1","","","Generic connector, double row, 02x03, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)"
"J9,J10","JST-PH-S6B","Connector_JST:JST_PH_S6B-PH-SM4-TB_1x06-1MP_P2.00mm_Horizontal","2","","","Generic connectable mounting pin connector, single row, 01x06, script generated (kicad-library-utils/schlib/autogen/connector/)"
"J11","Conn_01x04_MountingPin","Connector_JST:JST_PH_S4B-PH-SM4-TB_1x04-1MP_P2.00mm_Horizontal","1","","","Generic connectable mounting pin connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)"
"J13","Conn_01x02_MountingPin","Connector_JST:JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal","1","","","Generic connectable mounting pin connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)"
"J14","Conn_01x03_MountingPin","Connector_JST:JST_PH_S3B-PH-SM4-TB_1x03-1MP_P2.00mm_Horizontal","1","","","Generic connectable mounting pin connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)"
"R1,R2,R3,R11,R14,R15,R16,R17,R18,R19,R21,R22,R23,R24,R25,R26,R27,R28,R31,R32,R33","10k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","21","","","Resistor"
"R4","0.05 (CRA2512-FZ-R050ELF)","Resistor_SMD:R_2512_6332Metric_Pad1.40x3.35mm_HandSolder","1","","","Resistor"
"R5,R6,R7,R10,R29,R30","5.1k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","6","","","Resistor"
"R8,R9","60.4","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2","","","Resistor"
"R12,R13","4.7k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2","","","Resistor"
"SW1,SW2,SW3,SW4,SW5,SW6,SW7,SW8,SW9","SW-PTS815SJM250SMTRLFS","RoverFootprint:SW-PTS815 SJM250SMTRLFS","9","","","Push button switch"
"U1,U8,U9","IFX9201SGAUMA1","RoverFootprint:DRIVE_IFX9201SGAUMA1","3","","","Full H-Bridge, DC Drive, SPI, 6A"
"U2","CURR_SENSE-INA219AIDCNTG4","Package_TO_SOT_SMD:SOT-23-8","1","","","Zero-Drift, Bidirectional Current/Power Monitor (0-26V) With I2C Interface, SOT-23-8"
"U3","TVS-SMDB03CE3","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","1","","",""
"U4","SN65HVD232","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","1","","","CAN Transceiver"
"U5","LDO-LM340SX-5.0/NOPB","Package_TO_SOT_SMD:TO-263-3_TabPin2","1","","","7.5V-35V To 5V LDO. 1.5A, Theta_JA = 44.8"
