Part Number,Customer Reference,Quantity 1
UCV1V471MNL1GS,DDB|C1,1
399-C0805C104K5RACTUCT-ND,DDB|C2.C4.C6.C14.C16.C17.C18.C19.C21.C23.C25,11
490-18663-1-ND,DDB|C3.C5.C9.C10.C11.C12.C13.C20.C22.C24,10
399-C0805C102J5GACTUCT-ND,DDB|C7,1
399-C0805C472K5RACTUCT-ND,DDB|C8,1
399-15436-1-ND,DDB|C15,1
732-4986-1-ND,DDB|D1,1
SK54A-LTPMSCT-ND,DDB|D2,1
732-4982-1-ND,DDB|D3.D4,2
36-3588-ND,DDB|F1,1
4411-ST0242-ND,DDB|G1,1
S9337-ND,DDB|G2,1
455-1165-ND,DDB|G3.G4,2
455-1126-ND,DDB|G5,1
455-1164-ND,DDB|G6,1
455-1162-ND,DDB|G7.G8.G9,3
1528-1403-ND,DDB|G10,1
455-S6B-PH-SM4-TBCT-ND,DDB|J1,1
2073-USB4105-GF-ACT-ND,DDB|J3,1
732-61000411921-ND,DDB|J4,1
RJHSE-5081-ND,DDB|J5,1
10129383-906002BLF-ND,DDB|J6,1
455-S6B-PH-SM4-TBCT-ND,DDB|J9.J10,2
455-S4B-PH-SM4-TBCT-ND,DDB|J11,1
455-S2B-PH-SM4-TBCT-ND,DDB|J13,1
455-S3B-PH-SM4-TBCT-ND,DDB|J14,1
2019-RK73H2ATTD1002FCT-ND,DDB|R1.R2.R3.R11.R14.R15.R16.R17.R18.R19.R21.R22.R23.R24.R25.R26.R27.R28.R31.R32.R33,21
CRA2512-FZ-R050ELFCT-ND,DDB|R4,1
2019-RK73H2ATTD5101FCT-ND,DDB|R5.R6.R7.R10.R29.R30,6
2019-RK73H2ATTD60R4FCT-ND,DDB|R8.R9,2
2019-RK73H2ATTD4701FCT-ND,DDB|R12.R13,2
CKN12215-1-ND,DDB|SW1.SW2.SW3.SW4.SW5.SW6.SW7.SW8.SW9,9
IFX9201SGAUMA1CT-ND,DDB|U1.U8.U9,3
296-26073-1-ND,DDB|U2,1
150-SMDB03CE3/TR7CT-ND,DDB|U3,1
296-15381-1-ND,DDB|U4,1
LM340SX-5.0/NOPBCT-ND,DDB|U5,1
296-TLV74033PDBVRCT-ND,DDB|U6,1
1965-ESP32-S3-WROOM-1U-N8CT-ND,DDB|U7,1
