Part Number,Customer Reference,Quantity 1
UCV1V471MNL1GS,AJ345|C1,1
399-C0805C104K5RACTUCT-ND,AJ345|C2.C4.C6.C14.C16.C17.C18.C19.C21.C23.C25,11
490-18663-1-ND,AJ345|C3.C5.C9.C10.C11.C12.C13.C20.C22.C24,10
399-C0805C102J5GACTUCT-ND,AJ345|C7,1
399-C0805C472K5RACTUCT-ND,AJ345|C8,1
399-15436-1-ND,AJ345|C15,1
732-4986-1-ND,AJ345|D1,1
SK54A-LTPMSCT-ND,AJ345|D2,1
732-4982-1-ND,AJ345|D3.D4,2
36-3588-ND,AJ345|F1,1
4411-ST0242-ND,AJ345|G1,1
S9337-ND,AJ345|G2,1
455-1165-ND,AJ345|G3.G4,2
455-1126-ND,AJ345|G5,1
455-1164-ND,AJ345|G6,1
455-1162-ND,AJ345|G7.G8.G9,3
1528-1403-ND,AJ345|G10,1
455-S6B-PH-SM4-TBCT-ND,AJ345|J1,1
2073-USB4105-GF-ACT-ND,AJ345|J3,1
732-61000411921-ND,AJ345|J4,1
RJHSE-5081-ND,AJ345|J5,1
10129383-906002BLF-ND,AJ345|J6,1
455-S6B-PH-SM4-TBCT-ND,AJ345|J9.J10,2
455-S4B-PH-SM4-TBCT-ND,AJ345|J11,1
455-S2B-PH-SM4-TBCT-ND,AJ345|J13,1
455-S3B-PH-SM4-TBCT-ND,AJ345|J14,1
2019-RK73H2ATTD1002FCT-ND,AJ345|R1.R2.R3.R11.R14.R15.R16.R17.R18.R19.R21.R22.R23.R24.R25.R26.R27.R28.R31.R32.R33,21
CRA2512-FZ-R050ELFCT-ND,AJ345|R4,1
2019-RK73H2ATTD5101FCT-ND,AJ345|R5.R6.R7.R10.R29.R30,6
2019-RK73H2ATTD60R4FCT-ND,AJ345|R8.R9,2
2019-RK73H2ATTD4701FCT-ND,AJ345|R12.R13,2
CKN12215-1-ND,AJ345|SW1.SW2.SW3.SW4.SW5.SW6.SW7.SW8.SW9,9
IFX9201SGAUMA1CT-ND,AJ345|U1.U8.U9,3
296-26073-1-ND,AJ345|U2,1
150-SMDB03CE3/TR7CT-ND,AJ345|U3,1
296-15381-1-ND,AJ345|U4,1
LM340SX-5.0/NOPBCT-ND,AJ345|U5,1
296-TLV74033PDBVRCT-ND,AJ345|U6,1
1965-ESP32-S3-WROOM-1U-N8CT-ND,AJ345|U7,1
