"Reference","Value","Footprint","Qty","Digikey","Digikey Link","Description"
"C1,C3,C12,C13,C16","10uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","5","","","Unpolarized capacitor"
"C5","22uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1","","","Unpolarized capacitor"
"C6,C8,C9,C15,C17,C22","100nF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","6","","","Unpolarized capacitor"
"C7,C10","1uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","2","","","Unpolarized capacitor"
"C11","10nF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1","","","Unpolarized capacitor"
"C14","470uF","Capacitor_SMD:CP_Elec_10x12.6","1","https://www.digikey.ca/en/products/detail/chemi-con/HHXJ350ARA471MJC5G/21530750","","Polarized capacitor"
"C18,C19,C20,C21","220nF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","4","","","Unpolarized capacitor"
"D1,D2","B","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","2","","","Light emitting diode"
"D3","40V","Diode_SMD:D_SMA","1","","","Schottky diode"
"F2","15A","RoverFootprint:FuseHolder-3588-20","1","","","FuseHolder SMD 20A Max"
"G1","JUMPER 2PINS (QPC02SXGN-RC)","","1","https://www.digikey.ca/en/products/detail/sullins-connector-solutions/QPC02SXGN-RC/2618262","",""
"G2,G3","RJ50 (6510-0104-05)","","2","https://www.digikey.ca/en/products/detail/encitech-connectors-ab/6510-0104-05/25596593","",""
"J1","USB_C_USB4105-GF-A","RoverFootprint:USB4145_GCT","1","","","USB 2.0-only 16P Type-C Receptacle connector"
"J2,J6","ETH-RJHSE5081","RoverFootprint:ETH-RJHSE5081","2","","","RJ connector, 8P8C (8 positions 8 connected), RJ31/RJ32/RJ33/RJ34/RJ35/RJ41/RJ45/RJ49/RJ61"
"J3","RJ50-SS-641010-A-NF-A111","RoverFootprint:RJ50-SS-641010-A-NF-A111","1","","","RJ connector, 10P10C (10 positions 10 connected), RJ48/RJ50"
"J4","Conn_02x03_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical_SMD","1","","","Generic connector, double row, 02x03, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)"
"J5","XT30PW-F","RoverFootprint:AMASS_XT30PW-F_1x02_P2.50mm_Horizontal","1","","",""
"R1,R2,R3,R4,R6,R7","5.1k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","6","","","Resistor"
"R5,R8,R9,R10","10k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","4","","","Resistor"
"SW1,SW2,SW3,SW4,SW5","SW-PTS815SJM250SMTRLFS","RoverFootprint:SW-PTS815 SJM250SMTRLFS","5","","","Push button switch"
"U1","LDO-TLV74033PDBVR","Package_TO_SOT_SMD:SOT-23-5_HandSoldering","1","https://www.digikey.ca/en/products/detail/texas-instruments/TLV74033PDBVR/12642183","","LDO Fixed output 3.3V. Input range: 3.7V-5.5V. 300mA"
"U2","LDO-LM7805MPX/NOPB","Package_TO_SOT_SMD:SOT-223-3_TabPin2","1","","","7.5V-35V To 5V LDO. 1.5A"
"U3","SN65HVD232","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","1","","","CAN Transceiver"
"U4","ESP32-S3-WROVER","RF_Module:ESP32-S3-WROOM-1U","1","","https://www.digikey.ca/en/products/detail/espressif-systems/ESP32-S3-WROOM-1U-N8/16162635","RF Module, ESP32-S3 SoC, Wi-Fi 802.11b/g/n, Bluetooth, BLE, 32-bit, 3.3V, onboard antenna, SMD"
"U5","XT60PW-M","RoverFootprint:AMASS_XT60PW-M_1x02_P7.20mm_Horizontal","1","","",""
"U6","XT60PM-F","RoverFootprint:AMASS_XT60PW-F_1x02_P7.20mm_Horizontal","1","","",""
"U7,U8","IFX007TAUMA1","Package_TO_SOT_SMD:TO-263-7_TabPin4","2","","",""
