Part Number,Customer Reference,Quantity 1
490-18663-1-ND,JL|C1.C3.C12.C13.C16,5
445-14428-1-ND,JL|C5,1
399-C0805C104K5RACTUCT-ND,JL|C6.C8.C9.C15.C17.C22,6
399-15436-1-ND,JL|C7.C10,2
399-C0805C103K5RACTUCT-ND,JL|C11,1
65-HHXJ350ARA471MJC5GCT-ND,JL|C14,1
399-C0805C224K5RACTUCT-ND,JL|C18.C19.C20.C21,4
732-4982-1-ND,JL|D1.D2,2
SK54A-LTPMSCT-ND,JL|D3,1
36-3588-ND,JL|F2,1
S9337-ND,JL|G1,1
4414-6510-0104-05-ND,JL|G2.G3,2
2073-USB4105-GF-ACT-ND,JL|J1,1
RJHSE-5081-ND,JL|J2.J6,2
380-1258-ND,JL|J3,1
10129383-906002BLF-ND,JL|J4,1
2019-RK73H2ATTD5101FCT-ND,JL|R1.R2.R3.R4.R6.R7,6
2019-RK73H2ATTD1002FCT-ND,JL|R5.R8.R9.R10,4
CKN12215-1-ND,JL|SW1.SW2.SW3.SW4.SW5,5
296-TLV74033PDBVRCT-ND,JL|U1,1
296-44518-1-ND,JL|U2,1
296-15381-1-ND,JL|U3,1
1965-ESP32-S3-WROOM-1U-N8CT-ND,JL|U4,1
IFX007TAUMA1CT-ND,JL|U7.U8,2
