Part Number,Customer Reference,Quantity 1
399-C0805C104K5RACTUCT-ND,DDB|C1.C2.C4.C6.C10,5
490-18663-1-ND,DDB|C3.C5.C7.C8.C9,5
399-15436-1-ND,DDB|C11,1
399-C0805C102J5GACTUCT-ND,DDB|C12,1
732-4984-1-ND,DDB|D1,1
732-4986-1-ND,DDB|D2,1
CVJ10F30LFCT-ND,DDB|D3,1
WM3703-ND,DDB|G1.G3,2
WM2501CT-ND,DDB|G2.G4.G5.G6.G7.G8.G9.G10.G11.G12.G13.G14.G15.G16.G17.G18,16
609-5081-ND,DDB|J1.J2,2
2073-USB4105-GF-ACT-ND,DDB|J3,1
WM1354-ND,DDB|J4,1
2019-RK73H2ATTD1001FCT-ND,DDB|R1.R2,2
2019-RK73H2ATTD5101FCT-ND,DDB|R3.R4,2
2019-RK73Z1JTTDCT-ND,DDB|R5.R6,2
2019-RK73H2ATTD1002FCT-ND,DDB|R7,1
CKN12215-1-ND,DDB|SW1.SW2,2
296-15381-1-ND,DDB|U1,1
150-SMDB03CE3/TR7CT-ND,DDB|U2,1
LM340SX-5.0/NOPBCT-ND,DDB|U3,1
1016-1817-1-ND,DDB|U4,1
1965-ESP32-S3-WROOM-1U-N8CT-ND,DDB|U5,1
1727-74AXP1T34GWHCT-ND,DDB|U7,1
