"Reference","Value","Footprint","Qty","Digikey","Digikey Link"
"C1","1uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1","",""
"C2","22uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1","",""
"C3,C4,C5,C7,C8","100nF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","5","",""
"C6,C9,C10,C11,C12,C17,C18,C19,C20,C23,C24,C25","10uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","12","",""
"D1,D2","R","Diode_SMD:D_0805_2012Metric_Pad1.15x1.40mm_HandSolder","2","",""
"D3","G","Diode_SMD:D_0805_2012Metric_Pad1.15x1.40mm_HandSolder","1","",""
"D4,D5","B","Diode_SMD:D_0805_2012Metric_Pad1.15x1.40mm_HandSolder","2","",""
"F1","20A","RoverFootprint:FUSE_3568-20","1","",""
"F2,F3,F4,F5,F6,F7,F8,F10,F11","3A","RoverFootprint:FUSE_3568-20","9","",""
"G1,G2,G3,G4,G5,G6,G7,G8,G9","3A Fuse","","9","https://www.digikey.ca/en/products/detail/littelfuse-inc/0297003-WXT/5233690",""
"G10","20A Fuse","","1","https://www.digikey.ca/en/products/detail/littelfuse-inc/0297020-WXT/5233695",""
"J1","USB_C_USB4145-GCT","RoverFootprint:USB4145_GCT","1","https://www.digikey.ca/en/products/detail/gct/USB4115-03-C/13557449?s=N4IgTCBcDaIKoGUBCAWAjGgrAWgAwGYQBdAXyA",""
"J2,J4","ETH-RJHSE508104","RoverFootprint:ETH-RJHSE508104","2","",""
"J3","TerminalBlock","RoverFootprint:TerminalBlock-4_P5.00mm-691137710004","1","https://www.digikey.ca/en/products/detail/w%C3%BCrth-elektronik/691137710004/6644053",""
"J8","XT30PW-F","RoverFootprint:AMASS_XT30PW-F_1x02_P2.50mm_Horizontal","1","",""
"R1","10k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1","",""
"R2,R3,R5,R17,R18,R21,R22,R23,R24,R25,R26","4.7k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","11","",""
"R4,R6,R7,R8,R35,R36,R37,R38,R39,R40,R41,R42","1k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","12","",""
"R9,R10,R11,R12,R13,R14,R15,R16,R19,R20,R27,R28,R29,R30,R31,R32,R33,R34,R43","15k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","19","",""
"SW1,SW2","TS09-63-25-WT-160-SMT-TR","Button_Switch_SMD:SW_DIP_SPSTx01_Slide_6.7x4.1mm_W8.61mm_P2.54mm_LowProfile","2","https://www.digikey.ca/en/products/detail/same-sky-formerly-cui-devices/TS09-63-25-WT-160-SMT-TR/15839066?s=N4IgTCBcDaICoGUAMBOAtANgMxrAVjQHU40BGDJNBAWRLgCUQBdAXyA",""
"U1","ESP32-S3-WROVER","RF_Module:ESP32-S3-WROOM-1U","1","","https://www.digikey.ca/en/products/detail/espressif-systems/ESP32-S3-WROOM-1U-N8/16162635"
"U2","TVS-SMDB03CE3","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","1","",""
"U3","SN65HVD232","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","1","",""
"U4","TLE4284DV33ATMA1","Package_TO_SOT_SMD:TO-252-2","1","https://www.digikey.ca/en/products/detail/infineon-technologies/TLE4284DV33ATMA1/1016100",""
"U5","XT60PW-M","RoverFootprint:AMASS_XT60PW-M_1x02_P7.20mm_Horizontal","1","",""
"U6","HSS-VN7004SLHTR","RoverFootprint:OCTAPACK_VN7004_STM-M","1","",""
"U7,U8,U9,U10,U11,U12,U13,U14","HSS-VN7140ASTR","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","8","https://www.digikey.ca/en/products/detail/stmicroelectronics/VN7140ASTR/5402881",""
