Part Number,Customer Reference,Quantity 1
399-15436-1-ND,DDB|C1,1
445-14428-1-ND,DDB|C2,1
399-C0805C104K5RACTUCT-ND,DDB|C3.C4.C5.C7.C8,5
490-18663-1-ND,DDB|C6.C9.C10.C11.C12.C17.C18.C19.C20.C23.C24.C25,12
732-4984-1-ND,DDB|D1.D2,2
732-4986-1-ND,DDB|D3,1
732-4982-1-ND,DDB|D4.D5,2
36-3568-20-ND,DDB|F1,1
36-3568-20-ND,DDB|F2.F3.F4.F5.F6.F7.F8.F10.F11,9
0297003.WXT-ND,DDB|G1.G2.G3.G4.G5.G6.G7.G8.G9,9
0297020.WXT-ND,DDB|G10,1
2073-USB4145-03-0230-CCT-ND,DDB|J1,1
RJHSE508104-ND,DDB|J2.J4,2
732-10957-ND,DDB|J3,1
2019-RK73H2ATTD1002FCT-ND,DDB|R1,1
2019-RK73H2ATTD4701FCT-ND,DDB|R2.R3.R5.R17.R18.R21.R22.R23.R24.R25.R26,11
2019-RK73H2ATTD1001FCT-ND,DDB|R4.R6.R7.R8,4
2019-RK73H2ATTD1502FCT-ND,DDB|R9.R10.R13.R14.R16.R20.R29.R30.R33.R34.R35.R36.R37.R38.R39.R40.R41.R42.R43.R44.R45.R46.R47.R48.R49.R50.R51,27
2019-RK73H2ATTD1003FCT-ND,DDB|R11.R12.R15.R19.R27.R28.R31.R32,8
2223-TS09-63-25-WT-160-SMT-TRCT-ND,DDB|SW1.SW2,2
1965-ESP32-S3-WROOM-1U-N8CT-ND,DDB|U1,1
150-SMDB03CE3/TR7CT-ND,DDB|U2,1
296-15381-1-ND,DDB|U3,1
TLE4284DV33ATMA1CT-ND,DDB|U4,1
497-VN7004SLHTRCT-ND,DDB|U6.U7.U8.U9.U10.U11.U12.U13.U14,9
