Part Number,Customer Reference,Quantity 1
399-C0805C104K5RACTUCT-ND,GNSS|C1.C2.C4.C8.C11,5
490-18663-1-ND,GNSS|C3.C5.C6.C9.C10.C12,6
399-15436-1-ND,GNSS|C7,1
1655-SB140CT-ND,GNSS|D1,1
732-4982-1-ND,GNSS|D3,1
455-1162-ND,GNSS|G1,1
S9337-ND,GNSS|G2,1
609-5081-ND,GNSS|J1.J2,2
455-B6B-PH-K-ND,GNSS|J4,1
2073-USB4145-03-0230-CCT-ND,GNSS|J5,1
2019-RK73H2ATTD1002FCT-ND,GNSS|R1,1
2019-RK73H2ATTD1001FCT-ND,GNSS|R4,1
2223-TS09-63-25-WT-160-SMT-TRCT-ND,GNSS|SW1.SW2,2
296-15381-1-ND,GNSS|U1,1
1965-ESP32-S3-WROOM-1U-N8CT-ND,GNSS|U2,1
296-44518-1-ND,GNSS|U3,1
296-TLV74033PDBVRCT-ND,GNSS|U4,1
150-SMDB03CE3/TR7CT-ND,GNSS|U5,1
