"Reference","Value","Datasheet","Footprint","Qty","Digikey","Digikey Link"
"C1,C2,C4,C8,C11","100nF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","5","",""
"C3,C5,C6,C9,C10,C12","10uF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","6","",""
"C7","1uF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1","",""
"D1","SB140","http://www.diodes.com/_files/datasheets/ds23022.pdf","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","1","",""
"D3","B","~","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","1","",""
"G1","PHR-6","","","1","https://www.digikey.ca/en/products/detail/jst-sales-america-inc/PHR-6/608604",""
"G2","JUMPER 2PINS (QPC02SXGN-RC)","","","1","https://www.digikey.ca/en/products/detail/sullins-connector-solutions/QPC02SXGN-RC/2618262",""
"J1,J2","Eth-Horiz","~","RoverFootprint:Ethernet_Horizontal","2","",""
"J4","JST6_Pin","","Connector_JST:JST_PH_B6B-PH-K_1x06_P2.00mm_Vertical","1","",""
"J5","USB_C_USB4145-GCT","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/5561/USB4145%20-%20Product%20Drawing.pdf","RoverFootprint:USB4145_GCT","1","https://www.digikey.ca/en/products/detail/gct/USB4115-03-C/13557449?s=N4IgTCBcDaIKoGUBCAWAjGgrAWgAwGYQBdAXyA",""
"R1","10k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1","",""
"R4","1k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1","",""
"SW1,SW2","TS09-63-25-WT-160-SMT-TR","TS09-63-25-WT-160-SMT-TR","Button_Switch_SMD:SW_DIP_SPSTx01_Slide_6.7x4.1mm_W8.61mm_P2.54mm_LowProfile","2","https://www.digikey.ca/en/products/detail/same-sky-formerly-cui-devices/TS09-63-25-WT-160-SMT-TR/15839066?s=N4IgTCBcDaICoGUAMBOAtANgMxrAVjQHU40BGDJNBAWRLgCUQBdAXyA",""
"U1","SN65HVD232","https://www.ti.com/lit/ds/symlink/sn65hvd230.pdf?ts=1730319703644&ref_url=https%253A%252F%252Fwww.ti.com%252Fproduct%252FSN65HVD230","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","1","",""
"U2","ESP32-S3-WROVER","https://www.espressif.com/sites/default/files/documentation/esp32-s3-wroom-1_wroom-1u_datasheet_en.pdf","RF_Module:ESP32-S3-WROOM-1U","1","","https://www.digikey.ca/en/products/detail/espressif-systems/ESP32-S3-WROOM-1U-N8/16162635"
"U3","LDO-LM7805MPX/NOPB","https://www.ti.com/lit/ds/symlink/lm7800.pdf","Package_TO_SOT_SMD:SOT-223-3_TabPin2","1","",""
"U4","LDO-TLV74033PDBVR","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/5334/TLV740P_DS.pdf","Package_TO_SOT_SMD:SOT-23-5_HandSoldering","1","https://www.digikey.ca/en/products/detail/texas-instruments/TLV74033PDBVR/12642183",""
"U5","TVS","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","1","",""
