"Reference","Value","Footprint","Qty","Digikey","Digikey Link","Description"
"C1,C4,C8,C12","100nF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","4","","","Unpolarized capacitor"
"C3,C5,C6,C9,C10","10uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","5","","","Unpolarized capacitor"
"C7","1uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1","","","Unpolarized capacitor"
"C11","10nF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1","","","Unpolarized capacitor"
"C13","2.7nF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1","","","Unpolarized capacitor"
"C14,C15,C16","22uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","3","","","Unpolarized capacitor"
"D2","CVJ10F30","RoverFootprint:Diode_schottky-CVJ10F30","1","","",""
"D3","B","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","1","","","Light emitting diode"
"G1","PHR-6","","1","https://www.digikey.ca/en/products/detail/jst-sales-america-inc/PHR-6/608604","",""
"J1,J2","Eth-Horiz","RoverFootprint:Ethernet_Horizontal","2","","","RJ connector, 8P8C (8 positions 8 connected), RJ31/RJ32/RJ33/RJ34/RJ35/RJ41/RJ45/RJ49/RJ61"
"J4","JST6_Pin","Connector_JST:JST_PH_B6B-PH-K_1x06_P2.00mm_Vertical","1","","",""
"J5","USB_C_USB4145-GCT","RoverFootprint:USB4145_GCT","1","https://www.digikey.ca/en/products/detail/gct/USB4115-03-C/13557449?s=N4IgTCBcDaIKoGUBCAWAjGgrAWgAwGYQBdAXyA","","USB 2.0-only 16P Type-C Receptacle connector, Vertical"
"L1","3.6uH","RoverFootprint:L_3.6u_ASPI-6045S-3R6N-T","1","https://www.digikey.ca/en/products/detail/abracon-llc/ASPI-6045S-3R6N-T/2343383","","Inductor"
"R1","10k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1","","","Resistor"
"R2","15.8k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1","","","Resistor"
"R3","115k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1","","","Resistor"
"R4","1k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1","","","Resistor"
"R5","22.1k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1","","","Resistor"
"R6,R7","5k1","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2","","","Resistor"
"SW1,SW2","TS09-63-25-WT-160-SMT-TR","RoverFootprint:SW-PTS815 SJM250SMTRLFS","2","https://www.digikey.ca/en/products/detail/same-sky-formerly-cui-devices/TS09-63-25-WT-160-SMT-TR/15839066?s=N4IgTCBcDaICoGUAMBOAtANgMxrAVjQHU40BGDJNBAWRLgCUQBdAXyA","","Push button switch"
"U1","SN65HVD232","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","1","","","CAN Transceiver"
"U2","ESP32-S3-WROVER","RF_Module:ESP32-S3-WROOM-1U","1","","https://www.digikey.ca/en/products/detail/espressif-systems/ESP32-S3-WROOM-1U-N8/16162635","RF Module, ESP32-S3 SoC, Wi-Fi 802.11b/g/n, Bluetooth, BLE, 32-bit, 3.3V, onboard antenna, SMD"
"U3","Volt_check-NCV308","Package_SO:TSOP-6_1.65x3.05mm_P0.95mm","1","488-NCV308SN500T1GCT-ND","","Voltage supervisory circuit"
"U4","LDO-TLV74033PDBVR","Package_TO_SOT_SMD:SOT-23-5_HandSoldering","1","https://www.digikey.ca/en/products/detail/texas-instruments/TLV74033PDBVR/12642183","","LDO Fixed output 3.3V. Input range: 3.7V-5.5V. 300mA"
"U5","TVS","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","1","","",""
"U6","DC_DC-AP64501","Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm","1","https://www.digikey.ca/en/products/detail/diodes-incorporated/AP64501SP-13/10419715","","DC-DC 3.8V-40V 5A | Adj"
