"Reference","Value","Datasheet","Footprint","Qty","DNP","Digikey","Digikey Link"
"C2,C20,C23","100nF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","3","","",""
"C17,C18,C19,C22,C24,C25","10uF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","6","","",""
"C21","1uF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1","","",""
"D4","CVJ10F30","https://toshiba.semicon-storage.com/info/CVJ10F30_datasheet_en_20140407.pdf?did=13914&prodName=CVJ10F30","RoverFootprint:Diode_schottky-CVJ10F30","1","","",""
"D5","B","~","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","1","","",""
"J3,J6","Eth-Horiz","~","RoverFootprint:Ethernet_Horizontal","2","","",""
"J7","USB_C_USB4145-GCT","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/5561/USB4145%20-%20Product%20Drawing.pdf","RoverFootprint:USB4145_GCT","1","","https://www.digikey.ca/en/products/detail/gct/USB4115-03-C/13557449?s=N4IgTCBcDaIKoGUBCAWAjGgrAWgAwGYQBdAXyA",""
"R1,R7","10k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2","","",""
"R2","20k","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1","","",""
"R6","1k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1","","",""
"R8,R9","5k1","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2","","",""
"SW1,SW2","SW-PTS815SJM250SMTRLFS","https://www.ckswitches.com/media/2728/pts815.pdf","RoverFootprint:SW-PTS815 SJM250SMTRLFS","2","","",""
"TP1,TP2","TestPoint","~","TestPoint:TestPoint_Plated_Hole_D2.0mm","2","","",""
"U1","R-78E5.0-0.5","https://www.recom-power.com/pdf/Innoline/R-78Exx-0.5.pdf","Converter_DCDC:Converter_DCDC_RECOM_R-78E-0.5_THT","1","","",""
"U2","MQ-8","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/5858/333108%20Hydrogen%20sensor%20MQ8%20breakout%20datasheet.pdf","Connector_JST:JST_PH_B4B-PH-SM4-TB_1x04-1MP_P2.00mm_Vertical","1","","",""
"U3","SN65HVD232","https://www.ti.com/lit/ds/symlink/sn65hvd230.pdf?ts=1730319703644&ref_url=https%253A%252F%252Fwww.ti.com%252Fproduct%252FSN65HVD230","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","1","","",""
"U4","Volt_check-NCV308","https://www.onsemi.com/download/data-sheet/pdf/ncv308-d.pdf","Package_SO:TSOP-6_1.65x3.05mm_P0.95mm","1","","488-NCV308SN500T1GCT-ND",""
"U5","MQ-131","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/5858/333124%20Ozone%20sensor%20MQ131%20breakout%20with%20easyC%20datasheet.pdf","Connector_JST:JST_PH_B5B-PH-SM4-TB_1x05-1MP_P2.00mm_Vertical","1","","",""
"U7","LDO-TLV74033PDBVR","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/5334/TLV740P_DS.pdf","Package_TO_SOT_SMD:SOT-23-5_HandSoldering","1","","https://www.digikey.ca/en/products/detail/texas-instruments/TLV74033PDBVR/12642183",""
"U8","ESP32-S3-WROVER","https://www.espressif.com/sites/default/files/documentation/esp32-s3-wroom-1_wroom-1u_datasheet_en.pdf","RF_Module:ESP32-S3-WROOM-1U","1","","","https://www.digikey.ca/en/products/detail/espressif-systems/ESP32-S3-WROOM-1U-N8/16162635"
"U9","TVS","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","1","","",""
