"Reference","Value","Footprint","Qty","Description"
"C1","1n","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1","Unpolarized capacitor"
"D1,D2","R","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","2","Light emitting diode"
"G1","PHR-2","","1",""
"G2","CFM-4020V-280-275","","1",""
"J1","Conn_01x03","Connector_JST:JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical","1","Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)"
"J2","JST-PH-B2B","Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical","1","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)"
"R1,R4,R6","15k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","3","Resistor"
"R2","100k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1","Resistor"
"R3,R5","1K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2","Resistor"
"U1","EC5_Connector","RoverFootprint:EC5","1",""
"U2","HSS-VN7004SLHTR","RoverFootprint:OCTAPACK_VN7004_STM-M","1",""
"U3,U4,U5,U6,U7,U8","XT60-F","RoverFootprint:AMASS_XT60-F_1x02_P7.20mm_Vertical","6",""
"U11,U12","XT60PM-F","RoverFootprint:AMASS_XT60PW-F_1x02_P7.20mm_Horizontal","2","-- mixed values --"
