Part Number,Customer Reference,Quantity 1
399-12070-1-ND,Reg|C1.C6,2
399-C0805C104K5RACTUCT-ND,Reg|C3,1
587-5853-1-ND,Reg|C5.C7,2
399-C0805C272K5RACTUCT-ND,Reg|C8,1
399-C0805C150J5GACTUCT-ND,Reg|12V|C9,1
399-C0805C330K5GACTUCT-ND,Reg|5V|C9,1
399-C0805C560J5GACTUCT-ND,Reg|3V3|C9,1
56-MAL218297603E3CT-ND,Reg|C10.C11,2
36-3588-20-ND,Reg|F1,1
36-3588-20-ND,Reg|F2,1
RJHSE508102-ND,Reg|J1,1
RJHSE-5081-ND,Reg|J6,1
SRR1210-100MCT-ND,Reg|12V|L1,1
308-1470-1-ND,Reg|5V|L1,1
732-6768-1-ND,Reg|3V3|L1,1
P20876CT-ND,Reg|12V|R1,1
1712-RP73PF2A115KBTDFCT-ND,Reg|5V|R1,1
P20805CT-ND,Reg|3V3|R1,1
2019-RN73R2ATTD2212B25CT-ND,Reg|R2,1
2019-RN73R2ATTD3742B25CT-ND,Reg|12V|R3,1
P20728CT-ND,Reg|5V|R3,1
P20710CT-ND,Reg|3V3|R3,1
2019-RK73H2ATTD5101FCT-ND,Reg|R4.R5.R6,3
31-AP64501SP-13CT-ND,Reg|U1,1
