"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C6","10uF","~","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","2",""
"C3","100nF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1",""
"C4","OPEN","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1",""
"C5,C7","22uF","~","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","2",""
"C8","2.7nF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1",""
"12V|C9","15pF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1",""
"5V|C9","33pF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1",""
"3V3|C9","56pF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1",""
"C10,C11","100uF","","Capacitor_SMD:CP_Elec_6.3x7.7","2",""
"F1","3A","~","RoverFootprint:FuseHolder-3588-20","1",""
"F2","5A","~","RoverFootprint:FuseHolder-3588-20","1",""
"J1","ETH-RJHSE508102","","RoverFootprint:ETH-RJHSE508102","1",""
"J6","ETH-RJHSE5081","","RoverFootprint:ETH-RJHSE5081","1",""
"12V|L1","10uH","~","Inductor_SMD:L_SXN_SMDRI125","1",""
"5V|L1","3.6uH","~","Inductor_SMD:L_SXN_SMDRI125","1",""
"3V3|L1","3.3uH","~","Inductor_SMD:L_SXN_SMDRI125","1",""
"12V|R1","309k","~","Resistor_SMD:R_0805_2012Metric","1",""
"5V|R1","115.8k","~","Resistor_SMD:R_0805_2012Metric","1",""
"3V3|R1","69.8k","~","Resistor_SMD:R_0805_2012Metric","1",""
"R2","22.1k","~","Resistor_SMD:R_0805_2012Metric","1",""
"12V|R3","37.4k","~","Resistor_SMD:R_0805_2012Metric","1",""
"5V|R3","15.8k","~","Resistor_SMD:R_0805_2012Metric","1",""
"3V3|R3","10.5k","~","Resistor_SMD:R_0805_2012Metric","1",""
"R4,R5,R6","5.1k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","3",""
"U1","DC_DC-AP64501","https://www.diodes.com/assets/Datasheets/AP64501.pdf","Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm","1",""
