Reference,Value,Datasheet,Footprint,Qty,,,CMP | 
C1,22uF,,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1,1,445-14428-2-ND,
"C2,C4,C5,C8",100nF,,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,4,4,KGM21NR71H104KT,
C3,1uF,,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1,1,GMC21X5R105K50NT,
"C6,C7",10uF,,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,2,2,490-18664-1-ND,
"D1,D2",R,https://www.we-online.com/components/products/datasheet/150080SS75000.pdf,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2,2,732-4984-2-ND ,
J1,USB_B_Micro,https://www.digikey.com/en/products/detail/amphenol-cs-fci/10118193-0001LF/2785388,Connector_USB:USB_Micro-B_Amphenol_10118193-0001LF_Horizontal,1,1,609-4616-1-ND,
"J2,J3",RJ45,~,54601-908WPLF:AMPHENOL_54601-908WPLF,2,2,54601-908WPLF,
R1,10K TBV,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,1,311-10.0KCRTR-ND,
"R2,R3",1k,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2,2,4988-NRC10J102TRFTR-ND,
"SW1,SW2",TS09-63-25-WT-160-SMT-TR,TS09-63-25-WT-160-SMT-TR,TS09_63_25_WT_160_SMT_TR:SW_TS09-63-25_CUD,2,2,TS09-63-25-WT-160-SMT-TR,
U1,ESP32-S3-WROOM-1,https://www.espressif.com/sites/default/files/documentation/esp32-s3-wroom-1_wroom-1u_datasheet_en.pdf,RF_Module:ESP32-S3-WROOM-1,1,1,1965-ESP32-S3-WROOM-1U-N8CT-ND,
U2,AZ1117ID-3.3TRG1,AZ1117ID-3.3TRG1,LDO_AZ1117ID-3.3TRG1:TO252-2_AZ1117ID-3.3TRG1_DIO,1,1,31-AZ1117D-3.3TRE1CT-ND,
U3,TJA1050T_CM_118,,TJA1050T_CM_118:SOIC127P600X175-8N,1,1,568-10292-1-ND,
U4,~,,Custom:WT910C,1,,Aliexpress / Desouder,
U5,~,150-SMDB03CE3/TR7TR-ND,Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm,1,,,
