"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C3,C4,C7,C10,C11,C17,C19,C21","100nF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","9",""
"C2,C22","10uF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","2",""
"C5,C9,C12,C13,C14","220nF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","5",""
"C6,C23","22uF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","2",""
"C8","1uF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1",""
"C15,C20","470uF","~","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","2",""
"C16,C18","1nF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","2",""
"D1","R","https://www.we-online.com/components/products/datasheet/150080SS75000.pdf","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","1",""
"D2","G","https://www.we-online.com/components/products/datasheet/150080SS75000.pdf","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","1",""
"F1","25A","~","3568-20:FUSE_3568-20","1",""
"F2","20A","~","3568-20:FUSE_3568-20","1",""
"F3","4A","~","3568-20:FUSE_3568-20","1",""
"J1","RJ45","~","A-2014-2-4-N-T-R:ASSMANN_A-2014-2-4-N-T-R","1",""
"J2","USB_B_Micro","https://www.digikey.com/en/products/detail/amphenol-cs-fci/10118193-0001LF/2785388","Connector_USB:USB_Micro-B_Amphenol_10118193-0001LF_Horizontal","1",""
"J3","RJ45","~","54601-908WPLF:AMPHENOL_54601-908WPLF","1",""
"J6,J7","~","~","Connector_JST:JST_XH_B6B-XH-AM_1x06_P2.50mm_Vertical","2",""
"J9,J10","XT30PW-F","~","Connector_AMASS:AMASS_XT30PW-F_1x02_P2.50mm_Horizontal","2",""
"R1,R2,R10,R13","1k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","4",""
"R3,R7,R9,R11,R12","10k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","5",""
"R4,R5,R6,R14,R15","3.3k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","5",""
"SW1,SW2,SW3,SW4,SW5,SW6,SW7","TS09-63-25-WT-160-SMT-TR","TS09-63-25-WT-160-SMT-TR","TS09_63_25_WT_160_SMT_TR:SW_TS09-63-25_CUD","7",""
"U1","150-SMDB03CE3/TR7TR-ND","150-SMDB03CE3/TR7TR-ND","Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm","1",""
"U2","SN65HVD232Q","","TJA1050T_CM_118:SOIC127P600X175-8N","1",""
"U3","LM7805MPX/NOPB","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","1",""
"U4","DRV8251A","https://www.ti.com/lit/ds/symlink/drv8251a.pdf?ts=1647896037237&ref_url=https%253A%252F%252Fwww.ti.com%252Fstore%252Fti%252Fen%252Fp%252Fproduct%252F%253Fp%253DDRV8251ADDAR%2526keyMatch%253DDRV8251ADDAR%2526tisearch%253Dsearch-everything%2526usecase%253DO","Package_SO:Texas_HSOP-8-1EP_3.9x4.9mm_P1.27mm_ThermalVias","1",""
"U5","ESP32-S3-WROOM-1","https://www.espressif.com/sites/default/files/documentation/esp32-s3-wroom-1_wroom-1u_datasheet_en.pdf","RF_Module:ESP32-S3-WROOM-1","1",""
"U6,U10","XT60PM-M","~","Connector_AMASS:AMASS_XT60-M_1x02_P7.20mm_Vertical","2",""
"U7,U8","BTN8962TA","~","footprints:PG-TO263-7-1_INF-M","2",""
"U9","AZ1117CH2-3.3TRG1","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","1",""
