"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C2,C4,C10,C13,C15,C16,C18","100nF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","8",""
"C3,C21","10uF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","2",""
"C6","470uF","~","Capacitor_THT:CP_Radial_D12.5mm_P5.00mm","1",""
"C7,C8,C11,C12,C20","220nF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","5",""
"C9,C14","1nF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","2",""
"C17,C22","22uF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","2",""
"C19","1uF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1",""
"D1","R","https://www.we-online.com/components/products/datasheet/150080SS75000.pdf","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","1",""
"D3","G","https://www.we-online.com/components/products/datasheet/150080SS75000.pdf","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","1",""
"F1","10A","~","3568-20:FUSE_3568-20","1",""
"J1","USB_B_Micro","https://www.digikey.com/en/products/detail/amphenol-cs-fci/10118193-0001LF/2785388","Connector_USB:USB_Micro-B_Amphenol_10118193-0001LF_Horizontal","1",""
"J2,J3","RJ45","~","54601-908WPLF:AMPHENOL_54601-908WPLF","2",""
"J4","~","","JST-S6B-HX-SM4:CONN_S6B-XH-SM4-TB_JST","1",""
"J6","XT30PW-M","","Connector_AMASS:AMASS_XT30PW-M_1x02_P2.50mm_Horizontal","1",""
"J7,J8","XT30PW-F","","Connector_AMASS:AMASS_XT30PW-F_1x02_P2.50mm_Horizontal","2",""
"R1,R6,R11,R12","1k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","4",""
"R3,R4,R5","3.3k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","3",""
"R7,R8,R9,R10,R13","10k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","5",""
"SW1,SW2,SW3,SW4,SW5","TS09-63-25-WT-160-SMT-TR","TS09-63-25-WT-160-SMT-TR","TS09_63_25_WT_160_SMT_TR:SW_TS09-63-25_CUD","5",""
"U1","150-SMDB03CE3/TR7TR-ND","150-SMDB03CE3/TR7TR-ND","Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm","1",""
"U2","SN65HVD232QDRQ1","","TJA1050T_CM_118:SOIC127P600X175-8N","1",""
"U4,U5","BTN8962TA","","footprints:PG-TO263-7-1_INF-M","2",""
"U6","ESP32-S3-WROOM-1","https://www.espressif.com/sites/default/files/documentation/esp32-s3-wroom-1_wroom-1u_datasheet_en.pdf","RF_Module:ESP32-S3-WROOM-1","1",""
"U7","LM7805MPX/NOPB","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","1",""
"U8","AZ1117CH2-3.3TRG1","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","1",""
