"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C2,C4,C6,C8,C10,C18","100nF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","7",""
"C3,C5","10uF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","2",""
"C7,C9,C11","470uF","~","Capacitor_THT:CP_Radial_D12.5mm_P5.00mm","3",""
"C12,C17","22uF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","2",""
"C13","220nF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1",""
"C19","1uF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1",""
"C20","47nF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1",""
"D2","G","https://www.we-online.com/components/products/datasheet/150080SS75000.pdf","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","1",""
"F1,F2,F3","4A","~","3568-20:FUSE_3568-20","3",""
"F4","9A","~","3568-20:FUSE_3568-20","1",""
"J1","USB_B_Micro","https://www.digikey.com/en/products/detail/amphenol-cs-fci/10118193-0001LF/2785388","Connector_USB:USB_Micro-B_Amphenol_10118193-0001LF_Horizontal","1",""
"J2","RJ45","","54601-908WPLF:AMPHENOL_54601-908WPLF","1",""
"J3,J4,J7","XT30PW-F","","XT30PW-F:AMASS_XT30PW-F","3",""
"J5,J8,J9","~","","JST-S6B-HX-SM4:CONN_S6B-XH-SM4-TB_JST","3",""
"J6","XT30PW-M","","Connector_AMASS:AMASS_XT30PW-M_1x02_P2.50mm_Horizontal","1",""
"R1,R5,R6,R7,R8,R9,R10,R11","3.3k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","8",""
"R2","1k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R3,R4","60","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2",""
"R13","10k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"SW1,SW2,SW3,SW4,SW5,SW6,SW7,SW8","TS09-63-25-WT-160-SMT-TR","TS09-63-25-WT-160-SMT-TR","TS09_63_25_WT_160_SMT_TR:SW_TS09-63-25_CUD","8",""
"U1","~","150-SMDB03CE3/TR7TR-ND","Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm","1",""
"U2","SN65HVD232QDRQ1","","TJA1050T_CM_118:SOIC127P600X175-8N","1",""
"U3","AZ1117CH2-3.3TRG1","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","1",""
"U4,U5,U7","DRV8251A","https://www.ti.com/lit/ds/symlink/drv8251a.pdf?ts=1647896037237&ref_url=https%253A%252F%252Fwww.ti.com%252Fstore%252Fti%252Fen%252Fp%252Fproduct%252F%253Fp%253DDRV8251ADDAR%2526keyMatch%253DDRV8251ADDAR%2526tisearch%253Dsearch-everything%2526usecase%253DO","Package_SO:Texas_HSOP-8-1EP_3.9x4.9mm_P1.27mm_ThermalVias","3",""
"U6","ESP32-S3-WROOM-1","https://www.espressif.com/sites/default/files/documentation/esp32-s3-wroom-1_wroom-1u_datasheet_en.pdf","RF_Module:ESP32-S3-WROOM-1","1",""
"U8","LM7805MPX/NOPB","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","1",""
