Reference,Value,Datasheet,Footprint,Qty,DNP
"C1,C2,C7,C10,C12,C13,C15,C18",100nF,~,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,8,16
C3,470uF,~,Capacitor_THT:CP_Radial_D8.0mm_P3.50mm,1,2
"C4,C5,C8,C9,C20",220nF,~,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,5,10
"C6,C11",1nF,~,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,2,4
"C14,C22",22uF,~,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,2,4
C16,1uF,~,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1,2
"C17,C21",10uF,~,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,2,4
C19,47nF,~,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1,20
D1,R,https://www.we-online.com/components/products/datasheet/150080SS75000.pdf,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,2
D2,G,https://www.we-online.com/components/products/datasheet/150080SS75000.pdf,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,2
F1,10A,~,3568-20:FUSE_3568-20,1,2
"J1,J6",USB_B_Micro,https://www.digikey.com/en/products/detail/amphenol-cs-fci/10118193-0001LF/2785388,Connector_USB:USB_Micro-B_Amphenol_10118193-0001LF_Horizontal,2,4
J2,~,~,Connector_JST:JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical,1,0
J3,RJ45,~,A-2014-2-4-N-T-R:ASSMANN_A-2014-2-4-N-T-R,1,2
J4,XT30PW-M,,Connector_AMASS:AMASS_XT60-M_1x02_P7.20mm_Vertical,1,0
J5,XT30PW-F,~,Connector_AMASS:AMASS_XT30PW-F_1x02_P2.50mm_Horizontal,1,0
"J7,J8",B2B-XH-A_LF__SN_,http://www.jst-mfg.com/product/pdf/eng/eXH.pdf,Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,2,4
JP1,Jumper_3_Open,~,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,1,2
"R1,R2,R5,R15",3.3k,~,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,4,8
"R3,R4,R6,R7,R10",10k,~,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,5,10
"R8,R9,R11,R14",1k,~,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,4,8
"R12,R13",60,~,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2,4
"SW1,SW2,SW3,SW4",TS09-63-25-WT-160-SMT-TR,TS09-63-25-WT-160-SMT-TR,TS09_63_25_WT_160_SMT_TR:SW_TS09-63-25_CUD,4,8
"U1,U2",IFX007T,~,footprints:PG-TO263-7-1_INF-M,2,4
U3,150-SMDB03CE3/TR7TR-ND,150-SMDB03CE3/TR7TR-ND,Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm,1,2
U4,ESP32-S3-WROOM-1,https://www.espressif.com/sites/default/files/documentation/esp32-s3-wroom-1_wroom-1u_datasheet_en.pdf,RF_Module:ESP32-S3-WROOM-1,1,2
U5,SN65HVD232Q,,TJA1050T_CM_118:SOIC127P600X175-8N,1,2
U6,LM7805MPX/NOPB,,Package_TO_SOT_SMD:SOT-223-3_TabPin2,1,2
U7,AZ1117CH-3.3TRG1,,Package_TO_SOT_SMD:SOT-223-3_TabPin2,1,2
