Designator;Mid X;Mid Y;Rotation;Layer
C1;30.500000;-17.250000;-90.000000;bottom
C2;22.250000;-55.500000;90.000000;bottom
C3;32.000000;-63.500000;90.000000;bottom
C4;28.500000;-63.500000;90.000000;bottom
C5;43.500000;-68.000000;-90.000000;bottom
C17;37.000000;-37.500000;-90.000000;bottom
C18;37.000000;-33.250000;90.000000;bottom
C19;27.750000;-17.250000;90.000000;bottom
C20;17.000000;-59.750000;-90.000000;bottom
D1;34.000000;-17.250000;90.000000;bottom
D2;36.250000;-56.500000;90.000000;bottom
D3;34.273300;-28.000000;0.000000;bottom
J1;45.250000;-38.750000;-90.000000;bottom
J9;43.750000;-27.500000;90.000000;bottom
JP1;45.000000;-49.830000;0.000000;bottom
R1;38.750000;-20.750000;-90.000000;bottom
R2;39.500000;-56.500000;-90.000000;bottom
R3;15.750000;-64.250000;-90.000000;bottom
R4;18.000000;-55.750000;180.000000;bottom
R5;27.750000;-27.500000;180.000000;bottom
R6;27.750000;-30.250000;180.000000;bottom
R13;23.000000;-19.500000;180.000000;bottom
R14;30.500000;-22.000000;90.000000;bottom
SW1;18.250000;-26.500000;-90.000000;bottom
SW2;23.000000;-26.500000;-90.000000;bottom
U1;39.000000;-47.750000;-90.000000;bottom
U2;22.250000;-69.500000;180.000000;bottom
U3;37.236600;-68.750000;90.000000;bottom
U6;25.900000;-38.390000;180.000000;bottom
C6;42.994949;-57.978832;70.000000;top
C7;29.250000;-32.500000;90.000000;top
C8;43.500000;-31.750000;90.000000;top
C9;24.600000;-50.629600;-90.000000;top
C10;29.600000;-45.879600;90.000000;top
C11;18.500000;-24.500000;180.000000;top
C12;42.500000;-24.500000;0.000000;top
C13;29.600000;-41.667100;-90.000000;top
C14;37.500000;-50.629600;-90.000000;top
C15;21.300000;-50.629600;-90.000000;top
C16;34.250000;-55.000000;-90.000000;top
J2;22.325000;-71.350000;0.000000;top
J6;42.350000;-62.750000;180.000000;top
J7;34.100000;-22.150000;0.000000;top
R7;18.050000;-50.600000;-90.000000;top
R8;31.750000;-50.629600;-90.000000;top
R9;19.550000;-55.250000;-90.000000;top
R10;34.300000;-50.629600;-90.000000;top
R11;24.600000;-55.379600;90.000000;top
R12;37.500000;-55.000000;90.000000;top
U4;22.250000;-35.000000;0.000000;top
U5;36.550000;-35.000000;0.000000;top
