"Reference","Value","Footprint","Qty","Description"
"C1,C2","470uf","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","2","Polarized capacitor 478-RPF1013471M035KTR-ND"
"C3,C9,C11,C12","100nf","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","4","Unpolarized capacitor"
"C6,C8","100uf","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","2","ESK107M025AC3AA"
"C7,C10,C13","10uf","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","3","Unpolarized capacitor"
"D1","G","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","1","Light emitting diode | 150080VS75000"
"D2,D4","R","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","2","Light emitting diode | 150080VS75000"
"D3,D5","R","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","2","Light emitting diode | 150080SS75000"
"D6","CLP6C-FKB-CKNPRGJBB7A363","CLP6C-FKB-CKNPRGJBB7A363:CLP6C-FKB-CKNPRGJBB7A363_CRE","1",""
"F1,F2","4A","Custom:3425L200_60MR","2","3425L200/60MR"
"F3","1.5A","Fuse:Fuse_1812_4532Metric_Pad1.30x3.40mm_HandSolder","1","SMD1812B075TF/33"
"J1","XT30PW-M","XT30PW-M:AMASS_XT30PW-M","1",""
"J2,J3","XT30PW-F","XT30PW-F:AMASS_XT30PW-F","2",""
"J4","B3B-XH-A_LF__SN_","Connector_JST:JST_XH_B3B-XH-AM_1x03_P2.50mm_Vertical","1","CONN HEADER VERT 3POS 2.5MM"
"J5,J6","RJ45","54601-908WPLF:AMPHENOL_54601-908WPLF","2","RJ connector, 8P8C (8 positions 8 connected)"
"R1,R2,R3,R4,R5,R20,R23","1K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","7","Resistor"
"R6,R8,R9,R15,R16,R17,R18,R24","3.3K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","8","Resistor"
"R7","0.010","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","1","Resistor"
"R10,R21","0","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2","Resistor"
"R19","68","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1","Resistor"
"SW1,SW2,SW3,SW4","TS09-63-25-WT-160-SMT-TR","TS09_63_25_WT_160_SMT_TR:SW_TS09-63-25_CUD","4",""
"U1,U2","VNH5200ASTR-E","VNH5200ASTR_E:SO_200AS-E_STM","2",""
"U3","~","ESP32-DEVKIT-V1:MODULE_ESP32_DEVKIT_V1","1",""
"U4,U5","~","Connector_JST:JST_XH_B6B-XH-AM_1x06_P2.50mm_Vertical","2",""
"U6","TJA1050T_CM_118","TJA1050T_CM_118:SOIC127P600X175-8N","1",""
"U7","~","Custom:REG_7.4V","1","Regulateur 7.4V, 3A, 6s. Fait par Émile Renaud (Promo 66)"
"U8","INA219AxD","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","1","Zero-Drift, Bidirectional Current/Power Monitor (0-26V) With I2C Interface, SOIC-8"
