Reference,Value,Datasheet,Footprint,Qty,,,,PDB | 
"C1,C4,C6",100nF,~,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,3,3,KGM21NR71H104KT,,
"C2,C3,C5",10uF,~,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,3,3,490-18664-1-ND,,
"C7,C8,C9",100uF,~,Capacitor_THT:CP_Radial_D5.0mm_P2.00mm,3,3,732-8737-1-ND,,
D1,B,~,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,1,732-4982-1-ND,,
"D2,D5,D6,D7,D8",Y,~,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,5,5,732-4987-2-ND ,,
D3,R,~,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,1,732-4984-2-ND ,,
D4,CLP6C-FKB-CKNPRGJBB7A363,CLP6C-FKB-CKNPRGJBB7A363,footprints:CLP6C-FKB-CKNPRGJBB7A363_CRE-M,1,1,CLP6C-FKB-CKNPRGJBB7A363,,
"D10,D11",G,~,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2,2,732-4983-2-ND,,
"E_5V_1,E_5V_2,E_5V_3,E_5V_4",RJ45,~,54601-908WPLF:AMPHENOL_54601-908WPLF,4,6,609-5081-ND,,
E_12V_1,RJ45,~,A-2014-2-4-N-T-R:ASSMANN_A-2014-2-4-N-T-R,1,5,A-2014-2-4-N-T-R,,
E_12V_2,RJ45,~,54601-908WPLF:AMPHENOL_54601-908WPLF,1,0,609-5081-ND,,
E_24V_POE_IN_1,RJ45,~,A-2014-2-4-N-T-R:ASSMANN_A-2014-2-4-N-T-R,1,0,A-2014-2-4-N-T-R,,
E_24V_POE_IN_2,RJ45,~,54601-908WPLF:AMPHENOL_54601-908WPLF,1,0,609-5081-ND,,
"E_24V_POE_OUT_1,E_24V_POE_OUT_2",RJ45,~,A-2014-2-4-N-T-R:ASSMANN_A-2014-2-4-N-T-R,2,0,A-2014-2-4-N-T-R,,
"F1,F2",Fuse,~,3568-20:FUSE_3568-20,2,2,36-3568-20-ND,,
J1,Screw_Terminal_01x04,~,1790335:PHOENIX_1790335_4pin,1,8,277-6414-ND,,
